IEEE Dataset - Feature Correlations with Fraud


V257                          : +0.3831
V246                          : +0.3669
V244                          : +0.3641
V242                          : +0.3606
V201                          : +0.3280
V200                          : +0.3188
V189                          : +0.3082
V188                          : +0.3036
V258                          : +0.2972
V45                           : +0.2818
V158                          : +0.2781
V156                          : +0.2760
V149                          : +0.2733
V228                          : +0.2689
V44                           : +0.2604
V86                           : +0.2518
V87                           : +0.2517
V170                          : +0.2498
V147                          : +0.2429
V52                           : +0.2395
V157                          : +0.2349
V155                          : +0.2342
V230                          : +0.2317
V199                          : +0.2310
V148                          : +0.2289
V51                           : +0.2232
V171                          : +0.2165
V40                           : +0.2124
V243                          : +0.2102
V154                          : +0.2070
V190                          : +0.2051
V39                           : +0.2031
V38                           : +0.1990
V146                          : +0.1986
V43                           : +0.1983
V140                          : +0.1969
V79                           : +0.1941
V42                           : +0.1894
V94                           : +0.1884
V74                           : +0.1859
V33                           : +0.1835
V153                          : +0.1831
V17                           : +0.1827
V18                           : +0.1825
V81                           : +0.1824
V93                           : +0.1810
V92                           : +0.1805
V34                           : +0.1803
V80                           : +0.1803
V50                           : +0.1800
V247                          : +0.1797
V15                           : +0.1780
V37                           : +0.1769
V16                           : +0.1743
V73                           : +0.1739
V58                           : +0.1731
V84                           : +0.1691
V57                           : +0.1689
V85                           : +0.1688
V222                          : +0.1664
V21                           : +0.1660
V176                          : +0.1643
id_35                         : +0.1642
V47                           : +0.1641
V31                           : +0.1632
V72                           : +0.1610
V32                           : +0.1602
V22                           : +0.1588
V77                           : +0.1584
V71                           : +0.1568
card3                         : +0.1542
V197                          : +0.1540
V252                          : +0.1534
V63                           : +0.1534
id_29                         : +0.1519
V259                          : +0.1516
V59                           : +0.1511
V60                           : +0.1510
id_28                         : +0.1506
V78                           : +0.1504
V64                           : +0.1504
V262                          : +0.1503
id_17                         : +0.1501
V23                           : +0.1494
V186                          : +0.1489
id_15                         : +0.1488
V139                          : +0.1476
V194                          : +0.1472
V195                          : +0.1471
id_38                         : +0.1451
id_16                         : +0.1437
D8                            : -0.1426
V239                          : +0.1414
V198                          : +0.1399
V123                          : +0.1382
V229                          : +0.1372
V302                          : +0.1329
V221                          : +0.1325
V304                          : +0.1315
id_31                         : +0.1305
D7                            : -0.1272
id_36                         : +0.1262
V46                           : +0.1260
V260                          : +0.1249
V303                          : +0.1243
V24                           : +0.1238
V111                          : +0.1216
V184                          : +0.1214
id_01                         : -0.1201
