Credit Card Dataset: Feature Correlations with Fraud


V17                           : -0.3265
V14                           : -0.3025
V12                           : -0.2606
V10                           : -0.2169
V16                           : -0.1965
V3                            : -0.1930
V7                            : -0.1873
V11                           : +0.1549
V4                            : +0.1334
V18                           : -0.1115
V1                            : -0.1013
V9                            : -0.0977
V5                            : -0.0950
V2                            : +0.0913
V6                            : -0.0436
V21                           : +0.0404
V19                           : +0.0348
V20                           : +0.0201
V8                            : +0.0199
V27                           : +0.0176
Time                          : -0.0123
V28                           : +0.0095
V24                           : -0.0072
Amount                        : +0.0056
V13                           : -0.0046
V26                           : +0.0045
V15                           : -0.0042
V25                           : +0.0033
V23                           : -0.0027
V22                           : +0.0008


